state,visited
Alabama,0,
Alaska,1,
Arkansas,0,
Arizona,1,
California,2,
Colorado,1,
Connecticut,0,
Delaware,0,District of Columbia,1,
Florida,1,
Georgia,0,
Hawaii,2,
Iowa,0,
Idaho,1,
Illinois,1,
Indiana,0,
Kansas,0,
Kentucky,1,
Louisiana,0,
Maine,0,
Maryland,0,
Massachusetts,0,
Michigan,0,
Minnesota,0,
Missouri,0,
Mississippi,0,
Montana,0,
North Carolina,0,
North Dakota,0,
Nebraska,0,
New Hampshire,1,
New Jersey,0,
New Mexico,0,
Nevada,1,
New York,1,
Ohio,0,
Oklahoma,0,
Oregon,2,
Pennsylvania,1,
Rhode Island,0,
South Carolina,0,
South Dakota,0,
Tennessee,0,
Texas,1,
Utah,0,
Virginia,0,
Vermont,0,
Washington,1,
Wisconsin,0,
West Virginia,0,
Wyoming,1,
